POC, E, h, epsilon, L, avgU, energyU, avgV, energyV
 0, 0, 0, 0, 45, 128, 1, 128, 1
1, 0, 0, 0, 45, 128, 1, 128, 1
2, 0, 0, 0, 45, 128, 1, 128, 1
3, 2, 7.22633, 0, 48, 127, 1, 127, 1
4, 2, 3.59899, 0.276765, 52, 127, 2, 127, 2
5, 3, 3.78622, 0, 55, 127, 2, 127, 2
6, 4, 3.85136, 0, 58, 127, 2, 127, 2
7, 4, 4.00547, 0, 61, 127, 2, 127, 2
8, 5, 4.0744, 0, 64, 127, 2, 127, 2
9, 6, 4.13524, 0, 66, 127, 2, 127, 2
10, 7, 4.54597, 0, 69, 127, 2, 127, 3
11, 7, 4.92233, 0, 71, 127, 3, 127, 3
12, 8, 5.01522, 0, 73, 126, 3, 127, 3
13, 9, 5.18938, 0, 76, 126, 3, 127, 3
14, 10, 5.79515, 0, 78, 126, 3, 127, 4
15, 10, 6.38309, 0, 80, 126, 3, 127, 4
16, 11, 6.20787, 0, 82, 126, 4, 127, 4
17, 12, 7.38636, 0, 84, 126, 4, 127, 4
18, 13, 7.94605, 0, 86, 126, 4, 126, 5
19, 14, 8.31315, 0, 88, 126, 4, 126, 5
20, 15, 9.11898, 0, 90, 126, 4, 126, 5
21, 15, 9.28322, 0, 91, 126, 5, 126, 5
22, 16, 9.26275, 0, 93, 126, 5, 126, 5
23, 17, 10.9297, 0, 95, 126, 5, 126, 6
24, 18, 11.1562, 0, 97, 126, 5, 126, 6
25, 19, 10.8014, 0, 98, 126, 5, 126, 6
26, 19, 11.4196, 0, 100, 126, 6, 126, 7
27, 20, 10.9141, 0, 102, 126, 6, 126, 7
28, 20, 9.54875, 0, 102, 126, 6, 126, 7
