POC, E, h, epsilon, L, avgU, energyU, avgV, energyV
 0, 38, 0, 0, 101, 125, 9, 131, 7
1, 38, 22.9397, 0, 102, 125, 9, 131, 7
2, 38, 25.5684, 0, 102, 125, 9, 131, 7
3, 37, 24.3154, 0, 102, 125, 9, 131, 7
4, 37, 21.5028, 0, 103, 125, 9, 131, 7
5, 37, 22.2316, 0, 104, 125, 9, 131, 7
6, 37, 21.6269, 0, 104, 125, 9, 131, 7
7, 37, 23.4026, 0, 105, 125, 9, 131, 6
8, 37, 21.4508, 0, 105, 125, 9, 131, 7
9, 38, 24.3896, 0, 105, 125, 9, 131, 7
10, 39, 24.1176, 0, 104, 125, 9, 131, 7
11, 39, 24.2504, 0, 104, 125, 9, 131, 7
12, 39, 21.9413, 0, 104, 125, 9, 131, 7
13, 39, 19.3068, 0, 103, 125, 9, 131, 7
14, 38, 19.1093, 0, 103, 125, 9, 131, 7
15, 38, 18.5837, 0, 102, 125, 9, 131, 6
16, 37, 20.3077, 0, 101, 125, 9, 131, 6
17, 36, 19.7345, 0, 101, 125, 9, 131, 6
18, 36, 19.7705, 0, 100, 125, 9, 131, 6
19, 37, 21.7597, 0, 100, 125, 9, 131, 7
20, 36, 23.0487, 0, 99, 125, 9, 131, 7
21, 36, 21.6538, 0, 98, 125, 9, 131, 7
22, 36, 20.984, 0, 98, 125, 9, 131, 7
23, 35, 21.7887, 0, 98, 125, 9, 131, 7
24, 35, 22.3355, 0, 97, 125, 9, 131, 6
25, 35, 23.4632, 0, 97, 125, 9, 131, 6
26, 35, 24.5916, 0, 97, 125, 9, 131, 6
27, 34, 23.7241, 0, 98, 125, 9, 131, 7
28, 34, 28.8419, 0, 98, 125, 9, 131, 7
29, 34, 25.1154, 0, 99, 125, 9, 131, 7
30, 33, 22.7653, 0, 99, 125, 9, 131, 6
31, 33, 23.976, 0, 100, 125, 9, 131, 6
32, 33, 24.5798, 0, 100, 125, 9, 131, 6
33, 33, 27.5998, 0, 101, 125, 9, 131, 6
34, 34, 29.3951, 0, 102, 125, 9, 131, 6
35, 34, 31.0161, 0, 102, 125, 9, 131, 6
36, 35, 27.2972, 0, 102, 125, 9, 131, 6
37, 35, 26.8021, 0, 102, 125, 9, 131, 6
38, 36, 26.1917, 0, 102, 125, 9, 131, 6
39, 36, 22.3461, 0, 102, 125, 9, 131, 6
40, 36, 21.3176, 0, 102, 125, 9, 131, 6
41, 36, 18.5767, 0, 102, 125, 9, 131, 6
42, 36, 16.9638, 0, 102, 125, 9, 131, 6
43, 36, 16.5618, 0, 102, 125, 9, 131, 6
44, 36, 14.7038, 0, 102, 125, 9, 131, 6
45, 35, 14.1214, 0, 102, 125, 9, 131, 6
46, 35, 14.3069, 0, 102, 125, 9, 131, 6
47, 35, 14.4927, 0, 102, 125, 9, 131, 6
48, 35, 15.2653, 0, 102, 125, 9, 131, 6
49, 35, 15.9751, 0, 102, 125, 9, 131, 6
50, 35, 16.8153, 0, 102, 125, 9, 131, 6
51, 34, 15.6355, 0, 102, 125, 9, 131, 6
52, 34, 17.4408, 0, 102, 125, 9, 131, 6
53, 34, 19.2774, 0, 102, 125, 9, 131, 6
54, 34, 18.1838, 0, 102, 125, 9, 131, 6
55, 34, 21.9609, 0, 100, 125, 9, 131, 6
56, 38, 43.2631, 0, 88, 126, 9, 129, 6
57, 38, 25.0226, 0, 88, 126, 9, 129, 6
58, 37, 24.3325, 0, 88, 126, 9, 129, 6
59, 37, 23.1577, 0, 88, 126, 9, 129, 6
60, 37, 26.019, 0, 88, 126, 9, 130, 6
61, 37, 22.9782, 0, 88, 126, 9, 130, 6
62, 37, 26.5338, 0, 88, 126, 9, 130, 6
63, 38, 22.9203, 0, 88, 126, 9, 130, 6
64, 38, 22.7195, 0, 88, 126, 9, 130, 6
65, 38, 25.9651, 0, 88, 126, 9, 130, 6
66, 37, 28.4146, 0, 88, 126, 9, 130, 6
67, 38, 26.9196, 0, 88, 126, 10, 130, 6
68, 38, 29.3002, 0, 88, 126, 10, 130, 6
69, 38, 28.7795, 0, 88, 126, 10, 129, 6
70, 38, 30.3996, 0, 88, 126, 10, 129, 6
71, 37, 33.9441, 0, 88, 126, 10, 129, 6
72, 38, 33.1564, 0, 89, 126, 10, 130, 6
73, 38, 33.5523, 0, 92, 126, 10, 130, 6
74, 36, 36.3039, 0, 101, 125, 9, 131, 6
75, 36, 25.2332, 0, 103, 125, 9, 131, 6
76, 36, 21.6515, 0, 103, 125, 10, 131, 6
77, 37, 22.404, 0, 102, 125, 10, 131, 6
78, 37, 17.535, 0, 102, 125, 10, 131, 6
79, 37, 19.4941, 0, 101, 125, 10, 131, 6
80, 37, 16.0818, 0, 101, 125, 10, 131, 6
81, 36, 17.1523, 0, 101, 125, 10, 131, 6
82, 36, 20.0249, 0, 100, 125, 10, 131, 6
83, 36, 20.1742, 0, 100, 125, 10, 131, 6
84, 37, 24.7395, 0, 99, 125, 10, 131, 6
85, 37, 30.1886, 0, 99, 125, 9, 131, 6
86, 36, 38.9141, 0, 97, 125, 9, 131, 7
87, 35, 41.5153, 0, 95, 125, 9, 131, 7
88, 34, 37.7163, 0, 93, 125, 9, 131, 7
89, 32, 34.6731, 0, 92, 125, 8, 131, 6
90, 31, 24.0124, 0, 92, 125, 8, 131, 6
91, 31, 22.2522, 0, 93, 125, 8, 131, 6
92, 34, 32.7212, 0, 95, 125, 9, 131, 6
93, 37, 30.7055, 0, 96, 125, 9, 131, 6
94, 38, 28.2645, 0, 97, 125, 9, 131, 7
95, 37, 30.0079, 0, 98, 125, 9, 131, 7
96, 36, 29.8364, 0, 98, 125, 9, 131, 7
97, 35, 23.885, 0, 98, 125, 9, 131, 7
98, 35, 18.9133, 0, 98, 125, 9, 131, 7
99, 36, 19.1497, 0, 99, 125, 9, 131, 7
100, 36, 17.3508, 0, 99, 125, 9, 131, 7
101, 37, 18.3798, 0, 100, 125, 9, 131, 7
102, 38, 21.3627, 0, 102, 125, 9, 131, 7
103, 39, 21.5022, 0, 103, 125, 9, 131, 7
104, 40, 24.3809, 0, 105, 125, 9, 131, 7
105, 42, 23.1024, 0, 107, 125, 10, 131, 7
106, 43, 23.3622, 0, 109, 125, 10, 131, 6
107, 44, 20.8989, 0, 110, 125, 10, 131, 6
108, 44, 17.8104, 0, 111, 125, 10, 131, 7
109, 44, 16.7014, 0, 112, 125, 10, 131, 7
110, 44, 13.1979, 0, 112, 125, 10, 131, 7
111, 44, 12.0733, 0, 112, 125, 10, 131, 7
112, 44, 11.4392, 0, 111, 125, 10, 131, 7
113, 43, 10.9817, 0, 111, 125, 10, 131, 7
114, 43, 11.1038, 0, 111, 125, 10, 131, 7
115, 43, 9.96332, 0, 111, 125, 10, 131, 7
116, 42, 10.8237, 0, 111, 125, 10, 131, 7
117, 42, 11.4004, 0, 111, 125, 10, 131, 7
118, 42, 14.6426, 0, 111, 125, 10, 131, 6
119, 40, 17.7134, 0, 112, 125, 9, 131, 6
120, 39, 17.6196, 0, 113, 125, 9, 131, 6
121, 39, 17.4639, 0, 114, 125, 9, 131, 6
122, 39, 17.9136, 0, 115, 125, 9, 131, 6
123, 39, 17.1307, 0, 116, 125, 9, 132, 6
124, 39, 17.5884, 0, 116, 124, 9, 132, 6
125, 39, 17.4342, 0, 117, 124, 9, 132, 7
126, 39, 17.573, 0, 118, 124, 9, 132, 7
127, 40, 17.2362, 0, 118, 124, 9, 132, 7
128, 41, 17.1883, 0, 119, 124, 9, 132, 8
129, 41, 17.8346, 0, 119, 124, 10, 132, 8
130, 42, 18.1601, 0, 120, 124, 10, 132, 9
131, 43, 17.6921, 0, 120, 124, 10, 133, 9
132, 44, 17.3892, 0, 120, 124, 11, 133, 10
133, 45, 17.0564, 0, 121, 124, 11, 133, 10
134, 46, 17.2157, 0, 121, 124, 11, 133, 11
135, 48, 17.9902, 0, 121, 123, 12, 133, 11
136, 50, 18.3461, 0, 121, 123, 12, 133, 12
137, 51, 18.5052, 0, 121, 123, 13, 133, 13
138, 53, 18.6087, 0, 121, 123, 14, 133, 13
139, 55, 19.4725, 0, 121, 123, 14, 133, 14
140, 57, 20.0926, 0, 121, 123, 15, 133, 14
