POC, E, h, epsilon, L, avgU, energyU, avgV, energyV
 0, 50, 0, 0, 111, 127, 11, 127, 9
1, 48, 21.7092, 0, 109, 127, 10, 127, 9
2, 45, 29.5053, 0, 105, 127, 10, 127, 9
3, 42, 36.2474, 0, 100, 128, 10, 126, 10
4, 39, 39.5668, 0, 94, 128, 10, 126, 10
5, 32, 71.6816, 0.985674, 87, 128, 9, 126, 9
6, 30, 79.837, 0, 81, 128, 9, 126, 10
7, 36, 101.543, 0, 77, 128, 10, 126, 11
8, 42, 94.8465, 0, 86, 128, 11, 127, 11
9, 51, 84.3533, 0, 100, 128, 12, 127, 11
10, 54, 49.0453, 0, 109, 127, 11, 127, 10
11, 52, 23.3259, 0, 109, 127, 11, 127, 10
12, 50, 24.1243, 0, 109, 127, 10, 127, 10
13, 47, 26.2199, 0, 109, 127, 10, 127, 9
14, 43, 29.0484, 0, 109, 127, 9, 127, 9
15, 40, 31.6477, 0, 108, 127, 9, 127, 8
16, 38, 26.8441, 0, 108, 127, 8, 127, 8
17, 37, 20.3982, 0, 108, 127, 8, 127, 8
18, 37, 16.3723, 0, 108, 127, 8, 127, 8
19, 38, 14.5657, 0, 108, 127, 8, 127, 8
20, 40, 17.4989, 0, 108, 127, 8, 127, 8
21, 42, 20.2136, 0, 110, 127, 9, 127, 9
22, 45, 26.1886, 0, 110, 127, 9, 127, 9
23, 47, 20.7095, 0, 110, 127, 10, 127, 9
24, 48, 23.1017, 0, 109, 127, 10, 127, 10
25, 49, 24.7654, 0, 109, 127, 10, 127, 10
26, 51, 20.4077, 0, 108, 127, 11, 127, 10
27, 51, 12.2119, 0, 108, 127, 11, 127, 10
28, 51, 17.2641, 0, 108, 127, 11, 127, 10
29, 49, 26.6963, 0, 109, 127, 10, 127, 10
30, 48, 30.3736, 0, 109, 127, 10, 127, 10
31, 45, 33.4498, 0, 109, 127, 9, 127, 9
32, 41, 33.1653, 0, 108, 127, 9, 127, 9
33, 38, 33.6423, 0, 107, 127, 8, 127, 8
34, 35, 30.3321, 0, 107, 128, 8, 127, 8
35, 35, 26.1982, 0, 108, 127, 8, 127, 8
36, 34, 28.3697, 0, 108, 127, 8, 127, 8
37, 35, 31.7536, 0, 108, 127, 8, 127, 8
38, 39, 37.3398, 0, 109, 127, 8, 128, 8
39, 42, 45.9097, 0, 110, 127, 9, 128, 8
40, 42, 24.9895, 0, 110, 127, 9, 128, 8
41, 41, 22.0741, 0, 108, 127, 9, 128, 8
42, 41, 19.9507, 0, 107, 126, 9, 128, 8
43, 41, 20.2565, 0, 106, 126, 9, 128, 8
44, 40, 17.4244, 0, 105, 126, 9, 128, 8
45, 39, 18.884, 0, 102, 126, 9, 128, 8
46, 37, 33.3401, 0, 95, 126, 10, 128, 8
47, 34, 36.9836, 0, 88, 126, 10, 128, 8
48, 36, 27.2458, 0, 86, 126, 10, 128, 8
49, 34, 37.9511, 0, 89, 126, 10, 128, 7
50, 33, 24.9312, 0, 91, 125, 10, 128, 7
51, 33, 18.5888, 0, 94, 125, 10, 128, 6
52, 34, 23.43, 0, 96, 125, 11, 129, 6
53, 36, 23.5357, 0, 96, 125, 11, 129, 6
54, 37, 21.2049, 0, 96, 125, 12, 129, 6
55, 38, 14.7481, 0, 96, 124, 12, 129, 6
56, 37, 12.0145, 0, 96, 124, 12, 129, 6
57, 38, 12.5938, 0, 96, 124, 13, 129, 5
58, 38, 11.2259, 0, 96, 124, 13, 129, 5
59, 38, 12.5162, 0, 96, 124, 14, 129, 5
60, 39, 14.0261, 0, 96, 124, 14, 129, 5
61, 40, 12.8545, 0, 96, 123, 15, 129, 5
62, 41, 11.2767, 0, 95, 123, 16, 130, 5
63, 42, 11.0458, 0, 93, 123, 16, 130, 5
64, 43, 10.1172, 0, 92, 123, 17, 130, 5
65, 43, 10.3307, 0, 90, 123, 18, 130, 6
66, 45, 11.9906, 0, 88, 123, 18, 130, 6
67, 47, 10.4785, 0, 88, 122, 19, 130, 6
