POC, E, h, epsilon, L, avgU, energyU, avgV, energyV
 0, 44, 0, 0, 98, 128, 18, 130, 16
1, 43, 7.26345, 0, 98, 128, 18, 130, 16
2, 43, 8.31912, 0, 98, 128, 18, 130, 16
3, 43, 8.67206, 0, 98, 128, 17, 130, 16
4, 43, 8.68881, 0, 98, 128, 17, 130, 16
5, 43, 8.6976, 0, 98, 128, 18, 130, 16
6, 43, 8.33595, 0, 98, 128, 18, 130, 16
7, 44, 7.42467, 0, 98, 128, 18, 130, 16
8, 44, 8.74483, 0, 99, 128, 18, 130, 16
9, 44, 8.14349, 0, 99, 128, 18, 130, 16
10, 44, 8.39292, 0, 99, 128, 18, 130, 16
11, 43, 8.52383, 0, 99, 128, 18, 130, 16
12, 43, 10.4813, 0, 99, 128, 18, 130, 16
13, 43, 9.50752, 0, 99, 128, 18, 130, 16
14, 43, 10.9386, 0, 99, 128, 18, 130, 16
15, 43, 11.5728, 0, 99, 128, 18, 130, 16
16, 43, 10.8137, 0, 99, 128, 18, 130, 16
17, 43, 10.1245, 0, 99, 128, 18, 130, 16
18, 43, 9.38091, 0, 99, 128, 18, 130, 16
19, 44, 6.66819, 0, 99, 128, 18, 130, 16
20, 44, 6.41623, 0, 99, 128, 18, 130, 16
21, 44, 6.20782, 0, 99, 128, 18, 130, 16
22, 44, 6.17481, 0, 100, 128, 18, 130, 16
23, 44, 5.57674, 0, 100, 128, 18, 130, 16
24, 44, 5.33434, 0, 100, 128, 18, 130, 16
25, 44, 5.19474, 0, 100, 128, 18, 130, 16
26, 44, 7.33821, 0, 99, 128, 18, 130, 16
27, 44, 7.15242, 0, 99, 128, 18, 130, 16
28, 44, 7.2363, 0, 99, 128, 18, 130, 16
29, 44, 8.75605, 0, 99, 128, 18, 130, 16
30, 44, 8.1927, 0, 99, 128, 18, 130, 16
31, 44, 7.51964, 0, 99, 128, 18, 130, 16
32, 44, 9.4713, 0, 99, 128, 18, 130, 16
33, 44, 9.35964, 0, 99, 128, 18, 130, 16
34, 44, 9.24605, 0, 99, 128, 18, 130, 16
35, 44, 8.88145, 0, 99, 128, 18, 130, 16
36, 44, 9.30727, 0, 99, 128, 18, 130, 16
37, 44, 10.2812, 0, 99, 128, 18, 130, 16
38, 44, 9.8119, 0, 99, 128, 18, 130, 16
39, 44, 9.1677, 0, 99, 128, 18, 130, 16
40, 44, 9.68873, 0, 99, 128, 18, 130, 16
41, 44, 9.41936, 0, 99, 128, 18, 130, 16
42, 44, 8.30411, 0, 100, 128, 18, 130, 17
43, 44, 7.59899, 0, 100, 128, 18, 130, 16
44, 44, 8.38001, 0, 100, 128, 18, 130, 17
45, 44, 8.5305, 0, 100, 128, 18, 130, 17
46, 44, 7.81767, 0, 100, 128, 18, 130, 17
47, 44, 7.15741, 0, 100, 128, 18, 130, 17
48, 44, 6.82345, 0, 100, 128, 18, 130, 17
49, 44, 5.84107, 0, 100, 128, 18, 130, 17
50, 44, 5.87356, 0, 100, 128, 18, 130, 17
51, 44, 6.78824, 0, 100, 128, 18, 130, 17
52, 44, 5.97522, 0, 100, 128, 18, 130, 17
53, 44, 7.46879, 0, 100, 128, 18, 130, 17
54, 43, 8.98851, 0, 100, 128, 18, 130, 17
55, 43, 10.225, 0, 99, 128, 18, 130, 17
56, 43, 11.4527, 0, 99, 128, 18, 130, 16
57, 42, 12.6161, 0, 99, 128, 18, 130, 16
58, 42, 12.0636, 0, 99, 128, 18, 130, 16
59, 42, 11.5036, 0, 100, 128, 18, 130, 16
60, 42, 13.3715, 0, 100, 128, 18, 130, 16
61, 42, 13.5346, 0, 100, 128, 18, 130, 16
62, 42, 12.1045, 0, 100, 128, 18, 130, 16
63, 42, 12.0985, 0, 100, 128, 18, 130, 16
64, 44, 13.3649, 0, 100, 128, 18, 130, 17
65, 42, 12.3397, 0, 100, 128, 18, 130, 16
66, 41, 12.3045, 0, 100, 128, 17, 130, 16
67, 41, 13.3077, 0, 99, 128, 17, 130, 16
68, 42, 14.1882, 0, 99, 128, 18, 130, 16
69, 43, 13.4617, 0, 99, 128, 18, 130, 16
70, 44, 12.1644, 0, 99, 128, 18, 130, 16
71, 44, 7.29946, 0, 99, 128, 18, 130, 16
72, 43, 11.8153, 0, 99, 128, 18, 130, 16
73, 42, 12.0077, 0, 99, 128, 18, 130, 16
74, 42, 11.9836, 0, 99, 128, 18, 130, 16
75, 41, 17.1146, 0, 100, 128, 17, 130, 15
76, 40, 12.4614, 0, 100, 128, 16, 130, 15
77, 39, 14.7727, 0, 100, 128, 15, 130, 14
78, 38, 14.2734, 0, 101, 127, 15, 130, 13
79, 38, 14.2461, 0, 101, 127, 14, 130, 13
80, 38, 13.8643, 0, 101, 127, 14, 130, 12
81, 38, 13.4022, 0, 101, 127, 14, 130, 12
82, 39, 13.7052, 0, 101, 127, 13, 130, 11
83, 40, 14.7906, 0, 101, 126, 13, 130, 11
84, 41, 15.2188, 0, 101, 126, 13, 130, 10
85, 42, 15.3556, 0, 101, 126, 13, 130, 10
86, 43, 14.8933, 0, 101, 126, 13, 130, 10
87, 45, 14.6129, 0, 101, 126, 14, 130, 10
88, 47, 14.9131, 0, 101, 125, 14, 130, 10
89, 49, 15.7898, 0, 100, 125, 14, 130, 10
90, 51, 16.5442, 0, 100, 125, 15, 130, 10
91, 54, 17.323, 0, 100, 125, 15, 130, 10
92, 56, 17.7018, 0, 99, 124, 16, 130, 11
