POC, E, h, epsilon, L, avgU, energyU, avgV, energyV
 0, 59, 0, 0, 99, 124, 16, 129, 11
1, 59, 9.3448, 0, 99, 124, 16, 129, 11
2, 59, 9.37062, 0, 99, 124, 16, 129, 11
3, 59, 7.71762, 0, 99, 124, 16, 129, 11
4, 59, 6.42399, 0, 99, 124, 16, 129, 11
5, 59, 5.98905, 0, 99, 124, 16, 129, 11
6, 59, 5.55596, 0, 99, 124, 16, 129, 11
7, 59, 6.80297, 0, 99, 124, 16, 129, 11
8, 59, 8.22549, 0, 99, 124, 16, 129, 11
9, 59, 9.03551, 0, 99, 124, 16, 129, 11
10, 59, 9.23175, 0, 99, 124, 16, 129, 11
11, 59, 8.19153, 0, 99, 124, 16, 129, 11
12, 59, 6.22587, 0, 99, 124, 16, 129, 11
13, 59, 5.54417, 0, 99, 124, 16, 129, 11
14, 59, 7.67721, 0, 99, 124, 16, 129, 11
15, 59, 7.15863, 0, 99, 124, 16, 129, 11
16, 59, 7.58478, 0, 99, 124, 17, 129, 11
17, 59, 7.47644, 0, 99, 124, 17, 129, 11
18, 59, 6.29472, 0, 99, 124, 17, 129, 11
19, 59, 5.50106, 0, 99, 124, 17, 129, 11
20, 59, 6.80997, 0, 99, 124, 17, 129, 11
21, 59, 6.20458, 0, 99, 124, 17, 129, 11
22, 59, 7.8796, 0, 99, 124, 17, 129, 11
23, 59, 8.70577, 0, 99, 124, 17, 129, 11
24, 59, 7.94112, 0, 99, 124, 17, 129, 11
25, 59, 7.22508, 0, 99, 124, 17, 129, 11
26, 59, 7.12963, 0, 99, 124, 17, 129, 11
27, 59, 7.1625, 0, 99, 124, 17, 129, 11
28, 59, 8.49444, 0, 99, 124, 17, 129, 11
29, 59, 7.28208, 0, 99, 124, 16, 129, 11
30, 59, 7.1424, 0, 99, 124, 16, 129, 11
31, 59, 8.2985, 0, 99, 124, 17, 129, 11
32, 59, 8.14728, 0, 99, 124, 16, 129, 11
33, 59, 8.41778, 0, 99, 124, 16, 129, 11
34, 59, 8.46343, 0, 99, 124, 16, 129, 11
35, 59, 8.60792, 0, 99, 124, 16, 129, 11
36, 59, 9.52102, 0, 99, 124, 17, 129, 11
37, 59, 9.0832, 0, 99, 124, 17, 129, 11
38, 59, 10.7785, 0, 99, 124, 17, 129, 11
39, 59, 11.8224, 0, 99, 124, 17, 129, 11
40, 59, 11.5322, 0, 99, 124, 17, 129, 11
41, 59, 9.2402, 0, 99, 124, 17, 129, 11
42, 59, 8.99875, 0, 98, 124, 17, 129, 11
43, 59, 8.01669, 0, 98, 124, 17, 129, 11
44, 59, 7.7372, 0, 98, 124, 17, 129, 11
45, 59, 7.62015, 0, 98, 124, 17, 129, 11
46, 59, 6.10599, 0, 98, 124, 17, 129, 11
47, 59, 6.44284, 0, 98, 124, 17, 129, 11
48, 59, 6.2201, 0, 98, 124, 17, 129, 11
49, 59, 7.74725, 0, 98, 124, 17, 129, 11
50, 59, 8.73358, 0, 98, 124, 17, 129, 11
51, 59, 7.41721, 0, 98, 124, 17, 129, 11
52, 59, 7.43254, 0, 98, 124, 17, 129, 11
53, 59, 7.29965, 0, 98, 124, 17, 129, 11
54, 59, 7.93647, 0, 98, 124, 17, 129, 11
55, 59, 8.46784, 0, 98, 124, 17, 129, 11
56, 59, 8.32682, 0, 98, 124, 17, 129, 11
57, 59, 8.51413, 0, 99, 124, 17, 129, 11
58, 59, 8.22318, 0, 99, 124, 17, 129, 11
59, 59, 7.70735, 0, 99, 124, 17, 129, 11
60, 59, 9.77587, 0, 99, 124, 17, 129, 11
61, 59, 9.14662, 0, 99, 124, 17, 129, 11
62, 59, 9.66174, 0, 99, 124, 17, 129, 11
63, 59, 10.6827, 0, 99, 124, 17, 129, 11
64, 59, 9.5482, 0, 98, 124, 17, 129, 11
65, 59, 9.47865, 0, 98, 124, 17, 129, 11
66, 59, 9.27481, 0, 99, 124, 17, 129, 11
67, 59, 9.56332, 0, 98, 124, 17, 129, 11
68, 59, 10.1633, 0, 98, 124, 17, 129, 11
69, 58, 9.17685, 0, 98, 124, 17, 129, 11
70, 58, 9.03584, 0, 98, 124, 17, 129, 11
71, 58, 8.35934, 0, 98, 124, 17, 129, 11
72, 58, 7.87051, 0, 98, 124, 17, 129, 11
73, 58, 8.84297, 0, 98, 124, 17, 129, 11
74, 58, 10.2556, 0, 98, 124, 17, 129, 11
75, 58, 10.615, 0, 98, 124, 17, 129, 11
76, 58, 10.3464, 0, 98, 124, 17, 130, 11
77, 58, 9.95408, 0, 98, 124, 17, 130, 11
78, 58, 10.7828, 0, 98, 124, 17, 129, 11
79, 58, 10.711, 0, 98, 124, 17, 129, 11
80, 58, 10.7548, 0, 98, 124, 17, 129, 11
81, 58, 10.0077, 0, 98, 124, 17, 129, 11
82, 58, 7.88894, 0, 98, 124, 17, 129, 11
83, 58, 6.8533, 0, 98, 124, 17, 130, 11
