POC, E, h, epsilon, L, avgU, energyU, avgV, energyV
 0, 53, 0, 0, 94, 125, 23, 131, 22
1, 51, 38.287, 0, 94, 125, 23, 131, 22
2, 52, 40.0151, 0, 94, 125, 23, 131, 22
3, 53, 39.1024, 0, 94, 125, 24, 131, 22
4, 53, 37.2512, 0, 94, 125, 24, 131, 22
5, 52, 38.5134, 0, 95, 125, 24, 131, 22
6, 51, 41.5192, 0, 95, 125, 24, 131, 22
7, 51, 41.5937, 0, 95, 125, 24, 131, 22
8, 50, 42.8058, 0, 96, 125, 24, 131, 21
9, 50, 43.8277, 0, 96, 125, 24, 131, 22
10, 52, 42.6118, 0, 96, 125, 25, 131, 22
11, 51, 41.945, 0, 96, 125, 24, 131, 22
12, 49, 44.6609, 0, 96, 125, 24, 131, 22
13, 50, 42.9428, 0, 96, 125, 25, 131, 22
14, 50, 41.1848, 0, 96, 125, 25, 131, 22
15, 49, 43.2205, 0, 97, 125, 25, 131, 22
16, 49, 42.0931, 0, 97, 125, 25, 131, 22
17, 48, 45.133, 0, 97, 125, 25, 131, 22
18, 48, 44.4385, 0, 97, 125, 25, 131, 22
19, 48, 41.7551, 0, 97, 125, 25, 131, 22
20, 49, 43.3723, 0, 97, 125, 26, 131, 23
21, 49, 42.4358, 0, 98, 125, 26, 131, 23
22, 49, 42.1086, 0, 98, 125, 26, 131, 24
23, 50, 42.1402, 0, 98, 125, 27, 131, 24
24, 50, 41.0273, 0, 99, 125, 27, 131, 24
25, 50, 43.0959, 0, 99, 125, 27, 131, 24
26, 51, 44.78, 0, 100, 125, 27, 131, 25
27, 53, 42.7704, 0, 100, 125, 28, 131, 26
28, 53, 45.1532, 0, 101, 125, 28, 131, 26
29, 53, 48.8641, 0, 101, 125, 28, 131, 26
30, 55, 50.9266, 0, 102, 125, 29, 131, 27
31, 57, 50.441, 0, 102, 125, 30, 131, 28
32, 58, 49.3302, 0, 103, 125, 30, 131, 28
33, 59, 53.4369, 0, 103, 125, 31, 131, 29
34, 61, 52.7513, 0, 104, 125, 32, 131, 30
35, 60, 53.9351, 0, 104, 125, 32, 131, 31
36, 60, 54.9066, 0, 104, 125, 32, 131, 31
37, 61, 56.3711, 0, 105, 125, 33, 131, 32
38, 62, 55.5536, 0, 105, 125, 34, 131, 33
39, 61, 55.8874, 0, 105, 125, 34, 131, 33
40, 63, 57.0647, 0, 106, 125, 35, 131, 33
41, 62, 54.074, 0, 106, 125, 36, 131, 34
42, 62, 55.2656, 0, 106, 125, 36, 131, 34
43, 61, 54.9011, 0, 106, 125, 36, 131, 34
44, 60, 53.7794, 0, 107, 125, 36, 131, 33
45, 56, 58.4388, 0, 107, 125, 35, 131, 32
46, 56, 56.024, 0, 107, 125, 35, 131, 32
47, 57, 53.3483, 0, 107, 125, 37, 131, 33
48, 56, 47.5456, 0, 107, 125, 37, 131, 33
49, 57, 44.6645, 0, 107, 125, 38, 132, 34
50, 58, 41.0615, 0, 107, 125, 39, 132, 35
51, 57, 35.9309, 0, 107, 124, 39, 132, 34
52, 55, 36.9889, 0, 108, 124, 38, 132, 34
53, 55, 40.3345, 0, 108, 124, 38, 132, 34
54, 55, 37.8716, 0, 108, 124, 39, 132, 34
55, 53, 37.8566, 0, 108, 124, 38, 132, 33
56, 52, 44.3799, 0, 108, 124, 37, 132, 33
57, 54, 43.1074, 0, 108, 124, 38, 132, 34
58, 54, 36.8962, 0, 108, 124, 39, 132, 34
59, 51, 41.769, 0, 108, 124, 37, 132, 33
60, 51, 45.4922, 0, 108, 124, 37, 132, 33
61, 51, 42.4589, 0, 108, 124, 38, 132, 34
62, 51, 41.3029, 0, 108, 124, 38, 132, 34
63, 50, 42.8938, 0, 108, 124, 37, 132, 33
64, 50, 41.8497, 0, 108, 124, 37, 132, 33
65, 50, 42.7752, 0, 108, 124, 37, 132, 33
66, 51, 40.7529, 0, 108, 124, 38, 132, 34
67, 50, 36.8895, 0, 108, 124, 37, 132, 34
68, 50, 40.985, 0, 108, 124, 37, 132, 34
69, 48, 42.2694, 0, 108, 124, 36, 132, 33
70, 48, 43.1284, 0, 108, 124, 36, 132, 33
71, 48, 43.1247, 0, 108, 124, 37, 132, 33
72, 48, 41.9969, 0, 108, 124, 37, 132, 33
73, 48, 44.19, 0, 108, 124, 36, 132, 33
74, 48, 43.1881, 0, 108, 124, 36, 132, 33
75, 49, 42.4416, 0, 108, 124, 37, 132, 34
76, 49, 41.9391, 0, 108, 124, 37, 132, 34
77, 50, 38.6132, 0, 108, 124, 37, 132, 34
78, 50, 40.5724, 0, 108, 124, 37, 132, 34
79, 49, 40.0653, 0, 107, 124, 36, 132, 34
80, 48, 41.546, 0, 107, 124, 36, 132, 33
81, 48, 43.8752, 0, 107, 124, 36, 132, 33
82, 49, 41.3458, 0, 107, 124, 36, 132, 34
