POC, E, h, epsilon, L, avgU, energyU, avgV, energyV
 0, 91, 0, 0, 121, 126, 23, 127, 16
1, 91, 7.98734, 0, 121, 126, 23, 127, 16
2, 91, 7.82367, 0, 121, 126, 23, 127, 16
3, 91, 8.17688, 0, 121, 126, 23, 127, 16
4, 91, 8.27181, 0, 121, 126, 23, 127, 16
5, 91, 7.80969, 0, 121, 126, 23, 127, 16
6, 91, 8.06874, 0, 121, 126, 23, 127, 16
7, 91, 7.59665, 0, 121, 126, 23, 127, 16
8, 91, 7.61343, 0, 121, 126, 23, 127, 16
9, 91, 7.87715, 0, 121, 126, 23, 127, 16
10, 91, 8.14747, 0, 121, 126, 23, 127, 16
11, 92, 7.65714, 0, 121, 126, 23, 127, 16
12, 92, 7.50136, 0, 121, 126, 24, 127, 16
13, 92, 7.83647, 0, 121, 126, 24, 127, 16
14, 92, 7.38268, 0, 121, 126, 23, 127, 16
15, 92, 7.3716, 0, 121, 126, 24, 127, 16
16, 92, 8.07105, 0, 121, 126, 23, 127, 16
17, 92, 8.6906, 0, 121, 126, 24, 127, 16
18, 92, 7.84276, 0, 121, 126, 23, 127, 16
19, 92, 8.41266, 0, 121, 126, 23, 127, 16
20, 92, 8.12511, 0, 121, 126, 23, 127, 16
21, 92, 8.19259, 0, 121, 126, 23, 127, 16
22, 91, 7.67219, 0, 121, 126, 23, 127, 16
23, 91, 8.22086, 0, 121, 126, 23, 127, 16
24, 91, 8.32083, 0, 121, 126, 23, 127, 16
25, 91, 8.0314, 0, 121, 126, 23, 127, 16
26, 91, 8.10003, 0, 121, 126, 23, 127, 16
27, 91, 8.49022, 0, 121, 126, 23, 127, 16
28, 91, 9.0217, 0, 121, 126, 23, 127, 16
29, 91, 8.17364, 0, 121, 126, 23, 127, 16
30, 91, 8.01827, 0, 121, 126, 23, 127, 16
31, 91, 8.88641, 0, 121, 126, 23, 127, 16
32, 91, 8.53205, 0, 121, 126, 23, 127, 16
33, 91, 8.61149, 0, 121, 126, 23, 127, 16
34, 91, 9.2412, 0, 121, 126, 23, 127, 16
35, 91, 9.189, 0, 121, 126, 23, 127, 16
36, 91, 7.93903, 0, 121, 126, 23, 127, 16
37, 91, 9.17516, 0, 121, 126, 23, 127, 16
38, 91, 9.87535, 0, 121, 126, 23, 127, 16
39, 91, 9.04458, 0, 121, 126, 23, 127, 16
40, 91, 9.22407, 0, 121, 126, 23, 127, 16
41, 92, 9.18663, 0, 121, 126, 23, 127, 16
42, 92, 9.46258, 0, 121, 126, 23, 127, 16
43, 92, 9.39929, 0, 121, 126, 24, 127, 16
44, 92, 9.54118, 0, 121, 126, 24, 127, 16
45, 92, 9.31027, 0, 121, 126, 24, 127, 16
46, 92, 9.77522, 0, 121, 126, 24, 127, 16
47, 92, 9.63952, 0, 121, 126, 24, 127, 16
48, 92, 9.69447, 0, 121, 126, 24, 127, 16
49, 92, 9.58627, 0, 121, 126, 24, 127, 16
50, 92, 9.92492, 0, 121, 126, 24, 127, 16
51, 92, 10.4731, 0, 121, 126, 24, 127, 16
52, 92, 9.37162, 0, 121, 126, 24, 127, 16
53, 92, 8.76781, 0, 121, 126, 24, 127, 16
54, 92, 9.78764, 0, 121, 126, 24, 127, 16
55, 92, 10.3964, 0, 121, 126, 24, 127, 16
56, 92, 9.68366, 0, 121, 126, 24, 127, 16
57, 92, 9.01612, 0, 121, 126, 24, 127, 16
58, 92, 9.37601, 0, 121, 126, 24, 127, 16
59, 92, 9.31432, 0, 121, 126, 24, 127, 16
60, 92, 9.25117, 0, 121, 126, 24, 127, 16
61, 92, 9.37064, 0, 121, 126, 24, 127, 16
62, 92, 9.92759, 0, 121, 126, 24, 127, 16
63, 92, 9.99404, 0, 121, 126, 24, 127, 16
64, 92, 9.8927, 0, 121, 126, 24, 127, 16
65, 92, 9.96446, 0, 121, 126, 24, 127, 16
66, 92, 10.4636, 0, 121, 126, 24, 127, 16
67, 92, 11.021, 0, 121, 126, 24, 127, 16
68, 92, 11.784, 0, 121, 126, 24, 127, 16
69, 92, 11.6202, 0, 121, 126, 24, 127, 16
70, 93, 11.5948, 0, 121, 126, 24, 127, 16
71, 93, 12.6025, 0, 120, 126, 24, 127, 16
72, 93, 12.5868, 0, 120, 126, 24, 127, 16
73, 93, 12.0177, 0, 120, 126, 24, 127, 16
74, 93, 13.5197, 0, 121, 126, 24, 127, 16
75, 93, 13.2876, 0, 121, 126, 24, 127, 16
76, 93, 14.5381, 0, 121, 126, 24, 127, 16
77, 93, 14.0111, 0, 121, 126, 24, 127, 16
78, 93, 14.0425, 0, 121, 126, 24, 127, 16
79, 93, 13.9824, 0, 121, 126, 24, 127, 16
80, 93, 13.7844, 0, 121, 126, 24, 127, 16
