input_file,n,si,ti
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,1,18.059,
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,2,18.107,5.221
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,3,18.114,4.733
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,4,18.091,4.655
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,5,18.094,4.425
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,6,18.143,3.998
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,7,18.175,3.74
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,8,18.063,3.675
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,9,18.032,3.5
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,10,17.976,2.655
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,11,17.914,2.853
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,12,17.987,2.802
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,13,17.967,2.857
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,14,17.625,3.928
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,15,17.558,4.751
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,16,17.721,4.738
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,17,17.842,4.281
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,18,17.817,4.521
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,19,17.839,5.023
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,20,17.75,5.284
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,21,17.599,5.664
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,22,17.497,5.586
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,23,17.455,5.761
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,24,17.504,5.873
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,25,17.334,6.116
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,26,17.256,6.212
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,27,17.274,6.329
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,28,17.011,6.415
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,29,17.174,6.647
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,30,17.144,6.77
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,31,17.18,6.993
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,32,17.355,7.184
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,33,17.498,7.02
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,34,17.503,6.895
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,35,17.681,6.986
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,36,17.906,6.675
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,37,17.993,6.018
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,38,17.952,5.231
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,39,17.942,4.52
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,40,17.975,4.552
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,41,18.004,4.376
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,42,18.02,4.109
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,43,18.092,3.778
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,44,18.05,3.324
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,45,18.131,3.133
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,46,18.179,2.676
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,47,18.246,2.361
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,48,18.083,2.735
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,49,18.029,3.31
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,50,18.085,3.345
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,51,18.005,3.466
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,52,18.01,4.024
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,53,17.945,4.126
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,54,17.792,4.408
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,55,17.782,4.659
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,56,17.742,4.813
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,57,17.557,5.07
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,58,17.46,5.324
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,59,17.427,5.388
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,60,17.324,5.542
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,61,17.087,5.92
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,62,16.846,6.251
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,63,16.698,6.304
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,64,16.603,6.39
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,65,16.541,6.484
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,66,16.568,6.533
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,67,16.463,6.584
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,68,16.594,6.625
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,69,16.636,6.627
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,70,16.849,6.548
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_013793_013918.y4m,71,17.052,6.413
